                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                 1.3114,                 1.0209,                 1.6798,                0.91588,                0.88287,                 0.9596,                 0.6687,                 1.1332,                0.88053,                 1.5759,              0.0002576,              0.0002576,              0.0002576
                    112,                 1.1936,                0.97734,                 1.6504,                0.90203,                0.89189,                0.94735,                0.66452,                 1.1561,                0.89232,                 1.5945,             0.00024176,             0.00024176,             0.00024176
                    113,                 1.2862,                0.94716,                 1.6019,                 0.8834,                0.90541,                0.95269,                0.66499,                 1.1649,                0.87838,                 1.5995,             0.00022592,             0.00022592,             0.00022592
                    114,                 1.4055,                 1.1013,                 1.7516,                0.89712,                0.94278,                0.96196,                0.65414,                 1.1525,                0.87856,                 1.6025,             0.00021008,             0.00021008,             0.00021008
                    115,                 1.2707,                0.96338,                 1.6371,                 0.8765,                0.95946,                0.95696,                0.65128,                 1.1627,                0.92656,                 1.5992,             0.00019424,             0.00019424,             0.00019424
                    116,                 1.2881,                 1.2694,                 1.6111,                0.91578,                0.94595,                0.96147,                0.64969,                 1.1625,                0.93359,                 1.5841,              0.0001784,              0.0001784,              0.0001784
                    117,                 1.2881,                 1.2293,                 1.7284,                0.88547,                0.94595,                0.96258,                0.64367,                 1.1819,                0.91079,                 1.5897,             0.00016256,             0.00016256,             0.00016256
                    118,                 1.2409,                 1.1277,                 1.7365,                0.87354,                0.93344,                0.95889,                0.63022,                 1.2118,                 0.8891,                 1.6025,             0.00014672,             0.00014672,             0.00014672
                    119,                 1.3023,                 1.0688,                 1.6776,                0.90525,                0.90541,                0.95349,                0.62169,                 1.1718,                0.91275,                 1.5772,             0.00013088,             0.00013088,             0.00013088
                    120,                 1.3481,                 1.1298,                 1.6463,                0.91709,                0.89688,                0.95134,                0.62973,                 1.1581,                0.94499,                 1.5649,             0.00011504,             0.00011504,             0.00011504
                    121,                 1.3117,                 1.0836,                 1.6751,                0.91657,                0.89079,                0.95374,                0.62534,                 1.1718,                0.95714,                 1.5709,               9.92e-05,               9.92e-05,               9.92e-05
                    122,                 1.3225,                 1.1025,                 1.6904,                0.88377,                0.92478,                0.96037,                0.63998,                 1.1627,                0.94501,                 1.5587,              8.336e-05,              8.336e-05,              8.336e-05
                    123,                 1.2187,                 1.0044,                 1.5899,                0.86841,                0.94595,                0.96256,                0.65264,                 1.1216,                0.91708,                 1.5281,              6.752e-05,              6.752e-05,              6.752e-05
                    124,                 1.3116,                 1.1547,                 1.6474,                0.87399,                0.93736,                0.96266,                0.66343,                 1.0933,                0.89545,                 1.5095,              5.168e-05,              5.168e-05,              5.168e-05
                    125,                 1.1076,                0.99822,                 1.6312,                0.90004,                0.91892,                0.96249,                0.66483,                 1.0875,                 0.8844,                 1.5052,              3.584e-05,              3.584e-05,              3.584e-05
