                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.1257,                0.71144,                 1.3438,                0.88024,                0.91086,                0.94352,                0.65493,                 1.0761,                0.70731,                 1.3666,              0.0014984,              0.0014984,              0.0014984
                     59,                  1.119,                0.69099,                 1.3354,                0.90092,                0.91967,                0.95518,                0.67516,                 1.0376,                0.65011,                 1.3605,              0.0014896,              0.0014896,              0.0014896
                     60,                 1.1231,                0.72484,                 1.3239,                0.89317,                0.92308,                0.95369,                0.65528,                 1.1211,                0.64202,                 1.3982,              0.0014808,              0.0014808,              0.0014808
                     61,                 1.0926,                0.70415,                 1.3187,                0.85242,                 0.9416,                 0.9292,                0.65834,                 1.0227,                0.73624,                 1.3289,               0.001472,               0.001472,               0.001472
                     62,                 1.1053,                0.70488,                 1.3113,                0.87764,                 0.9302,                0.93103,                0.63544,                 1.1149,                 0.7536,                 1.3853,              0.0014632,              0.0014632,              0.0014632
                     63,                  1.137,                 0.6917,                 1.3232,                0.88338,                0.94017,                0.95115,                0.66806,                 1.0503,                0.61974,                 1.3541,              0.0014544,              0.0014544,              0.0014544
                     64,                 1.1545,                0.71931,                 1.3545,                0.90384,                0.93724,                0.96114,                0.67318,                 1.0749,                0.62195,                 1.3507,              0.0014456,              0.0014456,              0.0014456
                     65,                 1.1268,                0.69766,                 1.3325,                0.90646,                0.94302,                0.95167,                 0.6667,                 1.0721,                0.60713,                 1.3603,              0.0014368,              0.0014368,              0.0014368
                     66,                  1.111,                0.69165,                 1.3245,                0.89512,                0.94833,                0.95973,                0.64311,                 1.1054,                0.62997,                   1.37,               0.001428,               0.001428,               0.001428
                     67,                 1.0866,                0.68968,                 1.3084,                0.89829,                0.91844,                0.95795,                0.69159,                0.99527,                0.65564,                 1.3034,              0.0014192,              0.0014192,              0.0014192
                     68,                 1.1034,                0.69599,                 1.3261,                0.89443,                0.92934,                0.95139,                0.66732,                 1.0413,                0.62476,                 1.3445,              0.0014104,              0.0014104,              0.0014104
                     69,                 1.0844,                0.69056,                 1.3188,                0.90086,                0.93305,                0.96258,                0.68926,                 1.0389,                0.60029,                 1.3279,              0.0014016,              0.0014016,              0.0014016
